brand,card_id,coord_name,part,img_url
"第6章","P06-01","ダークネスエレメンツヘブンズ","ワンピース","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P06/840.png"
"第6章","P06-01","ダークネスエレメンツヘブンズ","シューズ","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P06/841.png"
"第6章","P06-01","ダークネスエレメンツヘブンズ","アクセサリ","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P06/842.png"
"第6章","P06-02","フレアエレメンツヘブンズ","ワンピース","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P06/843.png"
"第6章","P06-02","フレアエレメンツヘブンズ","シューズ","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P06/844.png"
"第6章","P06-02","フレアエレメンツヘブンズ","アクセサリ","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P06/845.png"
"第6章","P06-03","ブライトネスエレメンツヘブンズ","ワンピース","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P06/846.png"
"第6章","P06-03","ブライトネスエレメンツヘブンズ","シューズ","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P06/847.png"
"第6章","P06-03","ブライトネスエレメンツヘブンズ","アクセサリ","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P06/848.png"
"第6章","P06-04","フラッシュエレメンツヘブンズ","ワンピース","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P06/849.png"
"第6章","P06-04","フラッシュエレメンツヘブンズ","シューズ","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P06/850.png"
"第6章","P06-04","フラッシュエレメンツヘブンズ","アクセサリ","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P06/851.png"
"第6章","P06-05","アクアエレメンツヘブンズ","ワンピース","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P06/852.png"
"第6章","P06-05","アクアエレメンツヘブンズ","シューズ","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P06/853.png"
"第6章","P06-05","アクアエレメンツヘブンズ","アクセサリ","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P06/854.png"
"第6章","P06-06","サンシャインエレメンツヘブンズ","ワンピース","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P06/855.png"
"第6章","P06-06","サンシャインエレメンツヘブンズ","シューズ","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P06/856.png"
"第6章","P06-06","サンシャインエレメンツヘブンズ","アクセサリ","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P06/857.png"
"第6章","P06-07","リバティーサンシャイン","ワンピース","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P06/861.png"
"第6章","P06-07","リバティーサンシャイン","シューズ","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P06/862.png"
"第6章","P06-07","リバティーサンシャイン","アクセサリ","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P06/863.png"
第6章,P06-08,メモリージュエルアイシクル,トップス,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P06/864.png
