brand,card_id,coord_name,part,img_url
"アイプリ","OA3-001","じょうねつゴシックバズリウム","ワンピース","https://aipri.jp/verse/item/img/oa3/Item_ID33231.webp"
"アイプリ","OA3-002","じょうねつゴシックバズリウム","シューズ","https://aipri.jp/verse/item/img/oa3/Item_ID33232.webp"
"アイプリ","OA3-003","じょうねつゴシックバズリウム","アクセサリ","https://aipri.jp/verse/item/img/oa3/Item_ID33233.webp"
"アイプリ","OA3-004","きぼうのクリスタルバズリウム","ワンピース","https://aipri.jp/verse/item/img/oa3/Item_ID33234.webp"
"アイプリ","OA3-005","きぼうのクリスタルバズリウム","シューズ","https://aipri.jp/verse/item/img/oa3/Item_ID33235.webp"
"アイプリ","OA3-006","きぼうのクリスタルバズリウム","アクセサリ","https://aipri.jp/verse/item/img/oa3/Item_ID33236.webp"
"アイプリ","OA3-007","エプロンブーケイエロー","ワンピース","https://aipri.jp/verse/item/img/oa3/Item_ID33237.webp"
"アイプリ","OA3-008","エプロンブーケイエロー","シューズ","https://aipri.jp/verse/item/img/oa3/Item_ID33238.webp"
"アイプリ","OA3-009","エプロンブーケイエロー","アクセサリ","https://aipri.jp/verse/item/img/oa3/Item_ID33239.webp"
"アイプリ","OA3-010","エプロンブーケレッド","ワンピース","https://aipri.jp/verse/item/img/oa3/Item_ID33240.webp"
"アイプリ","OA3-011","エプロンブーケレッド","シューズ","https://aipri.jp/verse/item/img/oa3/Item_ID33241.webp"
"アイプリ","OA3-012","エプロンブーケレッド","アクセサリ","https://aipri.jp/verse/item/img/oa3/Item_ID33242.webp"
"アイプリ","OA3-013","ゴシックフレアレッド","ワンピース","https://aipri.jp/verse/item/img/oa3/Item_ID33243.webp"
"アイプリ","OA3-014","ゴシックフレアレッド","シューズ","https://aipri.jp/verse/item/img/oa3/Item_ID33244.webp"
"アイプリ","OA3-015","ゴシックフレアレッド","アクセサリ","https://aipri.jp/verse/item/img/oa3/Item_ID33245.webp"
"アイプリ","OA3-016","ゴシックフレアパープル","ワンピース","https://aipri.jp/verse/item/img/oa3/Item_ID33246.webp"
"アイプリ","OA3-017","ゴシックフレアパープル","シューズ","https://aipri.jp/verse/item/img/oa3/Item_ID33247.webp"
