brand,card_id,coord_name,part,img_url
"スタジオ第9章","3P01-19","サンキューフォーザワッチャプリマジ！","トップス","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/3P01/2463.png"
"スタジオ第9章","3P01-19","サンキューフォーザワッチャプリマジ！","ボトムス","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/3P01/2464.png"
"スタジオ第9章","3P01-19","サンキューフォーザワッチャプリマジ！","シューズ","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/3P01/2465.png"
"スタジオ第9章","3P01-19","サンキューフォーザワッチャプリマジ！","アクセサリ","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/3P01/2466.png"
"スタジオ第9章","3P01-20","はじまりのプリンセスロイヤルブルー","トップス","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/3P01/2467.png"
"スタジオ第9章","3P01-20","はじまりのプリンセスロイヤルブルー","ボトムス","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/3P01/2468.png"
"スタジオ第9章","3P01-20","はじまりのプリンセスロイヤルブルー","シューズ","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/3P01/2469.png"
"スタジオ第9章","3P01-20","はじまりのプリンセスロイヤルブルー","アクセサリ","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/3P01/2470.png"
"スタジオ第9章","3P01-21","エレクトロリミックスプリンセスタテジマ","ワンピース","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/3P01/2471.png"
"スタジオ第9章","3P01-21","エレクトロリミックスプリンセスタテジマ","シューズ","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/3P01/2472.png"
"スタジオ第9章","3P01-21","エレクトロリミックスプリンセスタテジマ","アクセサリ","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/3P01/2473.png"
"スタジオ第9章","3P01-22","シャイニングディーバプリンセスリューメ","ワンピース","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/3P01/2474.png"
"スタジオ第9章","3P01-22","シャイニングディーバプリンセスリューメ","シューズ","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/3P01/2475.png"
"スタジオ第9章","3P01-22","シャイニングディーバプリンセスリューメ","アクセサリ","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/3P01/2476.png"
"スタジオ第9章","3P01-23","エレガントジュエルひな","ワンピース","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/3P01/2477.png"
"スタジオ第9章","3P01-23","エレガントジュエルひな","シューズ","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/3P01/2478.png"
"スタジオ第9章","3P01-23","エレガントジュエルひな","アクセサリ","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/3P01/2479.png"
"スタジオ第9章","3P01-24","スパークスターあまね","ワンピース","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/3P01/2480.png"
"スタジオ第9章","3P01-24","スパークスターあまね","シューズ","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/3P01/2481.png"
"スタジオ第9章","3P01-24","スパークスターあまね","アクセサリ","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/3P01/2482.png"
"スタジオ第9章","3P01-25","ミュージックエールグリーン","トップス","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/3P01/2483.png"
"スタジオ第9章","3P01-25","ミュージックエールグリーン","ボトムス","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/3P01/2484.png"
"スタジオ第9章","3P01-25","ミュージックエールグリーン","シューズ","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/3P01/2485.png"
"スタジオ第9章","3P01-25","ミュージックエールグリーン","アクセサリ","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/3P01/2486.png"
"スタジオ第9章","3P01-26","プリマジチェックとうま","トップス","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/3P01/2487.png"
"スタジオ第9章","3P01-26","プリマジチェックとうま","ボトムス","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/3P01/2488.png"
"スタジオ第9章","3P01-26","プリマジチェックとうま","シューズ","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/3P01/2489.png"
"スタジオ第9章","3P01-26","プリマジチェックとうま","アクセサリ","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/3P01/2490.png"
"スタジオ第9章","3P01-27","プリマジチェックひゅーい","トップス","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/3P01/2491.png"
"スタジオ第9章","3P01-27","プリマジチェックひゅーい","ボトムス","https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/3P01/2492.png"
